trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-53.25275492001859,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-154.14582516546668,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-132.08470333972642,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,13,-56.60428911209052,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-86.39566688211912,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-109.11887868591697,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-139.4417396053834,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-147.352814086676,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-140.1746367488858,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-57.74676020388945,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-140.75019144572806,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-43.2578771629179,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-72.37578905904407,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-38.69822915782597,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-104.81881060263275,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",35,0,-224.40560846960366,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-141.27468081310946,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-117.2241850887441,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-82.08023696292365,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-186.60084577984418,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-115.3500204257861,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-198.1119463321663,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-156.64915955801484,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-161.5764004374108,"{0: 19, 1: 0, 2: 6, 3: 4, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,2,-115.64803706561483,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-98.21086264603927,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-96.87786963653865,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
